rank,title,artist,release,summary,metascore,userscore
6059,The Centre Cannot Hold,Ben Frost,"September 29, 2017","The fifth full-length release for the Australian experimental artist was recorded over 10 days with contributions from Steve Albini, Lawrence English, Nico Muhly, Valgeir Sigurðsson, and Skuli Sverrisson.",75,8.0
6060,There Is No Enemy,Built to Spill,"October 6, 2009","The latest album for the indie rock band features  Quasi's Sam Coomes, Treepeople's Scott Schmaljohn, Butthole Surfers' Paul Leary, John McMahon, and Roger Manning as guest musicians.",75,8.6
6061,Ringleader Of The Tormentors,Morrissey,"April 4, 2006",Tony Visconti (David Bowie) produced the suddenly prolific Moz's third release of the past two years.,75,8.0
6062,Glider,Heather Woods Broderick,"July 10, 2015","This is the second full-length solo release for the singer who has worked with Alela Diane, Efterklang, Laura Gibson, Horse Feathers, and Sharon Van Etten.",75,tbd
6063,Generation Indigo,Poly Styrene,"April 26, 2011","The front woman of X-Ray Spex returns with her first solo album, staying true to her punk, reggae, and pop roots.",75,tbd
6064,Art Brut vs. Satan,Art Brut,"April 21, 2009",The third album for the English band was produced by Black Francis (aka Frank Black).,75,8.2
6065,Let's Build A Fire,+/-,"October 24, 2006",This is the third album for the James Baluyut-led indie rockers.,75,8.0
6066,Delta Kream,The Black Keys,"May 14, 2021",Dan Auerbach and Patrick Carney recorded covers of Mississippi hill country blues songs in Nashville over two sessions with Kenny Brown and Eric Deaton.,75,7.7
6067,Me And Armini,Emilíana Torrini,"September 9, 2008",The latest album for the Icelandic singer was produced by Dan Carey.,75,8.2
6068,Woman on the Internet,Orla Gartland,"August 20, 2021",The debut full-length release for the Irish singer-songwriter was produced by Pete Robertson.,75,9.0
6069,The Long Walk,Uniform,"August 17, 2018",Ben Greenberg and Michael Berdan add drummer Greg Foxfor for the band's third full-length release.,75,tbd
6070,A Sentimental Education,Luna,"September 22, 2017","The New York City indie rock band return after breaking up in 2005 with an album of covers that includes songs by such artist as David Bowie, The Cure, Bob Dylan, Fleetwood Mac, Mercury Rev, Rolling Stones, and YES.",75,tbd
6071,Long Lost Suitcase,Tom Jones,"December 4, 2015",The latest studio release for the Welsh singer was produced by Ethan Johns.,75,tbd
6072,I'm in Your Mind Fuzz,King Gizzard & the Lizard Wizard,"November 11, 2014",This is the second full-length release for the Australian psychedelic rock band.,75,8.7
6073,"One Way, It's Every Way",Clue To Kalo,"September 20, 2005",This is the second album of electronica-meets-indie-pop (falling somewhere between Manitoba and the Postal Service) from Mark Mitchell.,75,tbd
6074,Soft Commands,Ken Stringfellow,"July 13, 2004","This solo disc from the Posies member features guest appearances from Jill Sobule and members of Velocity Girl, Oranger and the Posies.",75,8.2
6075,The Ladybug Transistor,The Ladybug Transistor,"October 7, 2003",This self-titled disc (the band's fifth studio recording) was recorded in Arizona with Calexico/Giant Sand producer Craig Schumacher.,75,8.2
6076,Song In The Air,Elliott,"April 29, 2003",This is the third LP for the Louisville-based emo band known for their strong live shows.,75,8.6
6077,A Grown-Ass Man,Dump,"April 1, 2003","The sixth solo release for Yo La Tengo bassist James McNew finds him playing all of the instruments on 13 tracks that veer from style to style but share a certain lo-fi charm. There are ten originals and three covers, including the unlikely album-closing take on Thin Lizzy's ""Cowboy Song.""",75,tbd
6078,Diamonds On The Inside,Ben Harper,"March 11, 2003",Southern California native Harper has gained a cult following for his jam-band-like approach to roots rock. This is his fifth studio LP.,75,8.6
6079,Does This Look Infected?,Sum 41,"November 26, 2002","The Toronto, Canada punk outfit returns with a follow-up to their successful 2001 debut, 'All Killer No Filler.'",75,8.7
6080,One By One,Foo Fighters,"October 22, 2002","Former Nirvana drummer (and sometime Queens of the Stone Age drummer) Dave Grohl returns to the front of the stage for his role as vocalist, guitarist, and bandleader of the Foo Fighters on this, their fourth studio recording.",75,8.3
6081,Out From Out Where,Amon Tobin,"October 15, 2002","This is the fourth album for the London-based, Brazilian-born jungle/breakbeat producer and DJ, following 2000's well-received 'Supermodified.'",75,8.3
6082,The Magnificent,DJ Jazzy Jeff,"August 20, 2002","You know him from his days supplying the beats to the Fresh Prince, but DJ Jazzy Jeff has finally stepped into the spotlight with this solo debut. Vocals are supplied by a variety of guests, including Jill Scott, Raheim, ?uestlove and J-Live.",75,tbd
6083,Muzikizum,X-Press 2,"July 2, 2002","The British house trio has been performing, producing, and remixing for ten years, but 'Muzikizum' represents their first album, highlighted by the breakout UK hit single ""Lazy"" featuring guest vocals from David Byrne.",75,tbd
6084,New Favorite,Alison Krauss & Union Station,"August 14, 2001","Alison Krauss and her band have gained popularity in recent months, thanks to the success of the O Brother, Where Art Thou? soundtrack (which featured the band's version of ""I Am A Man Of Constant Sorrow"" among other contributions). This is their first album since 1999's 'Forget About It.'",75,8.7
6085,The Negatives,Lloyd Cole,"April 3, 2001",,75,tbd
6086,Live!,Luna,"February 6, 2001","Luna's first live recording compiles performances from New York's Knitting Factory and Washington D.C.'s 9:30 Club, including the band's final show with bassist Justin Harwood and one of its first with Harwood's replacement Britta Phillips. The disc includes songs from each of Luna's five studio albums, as well as one track (""4th of July"") from frontman Dean Wareham's previous band, Galaxie 500.",75,tbd
6087,NakedSelf,The The,"February 29, 2000",,75,7.4
6088,Jade Bird,Jade Bird,"April 19, 2019","Born in England but leaning, musically, toward Americana, the 21-year-old singer-songwriter follows her 2017 EP, ""Something American,"" with this full-length debut.",75,8.5
6089,Broken Side Of Time,Alberta Cross,"March 9, 2010",The debut full-length album for the band led by Swedish-born Petter Ericson Stakee and Terry Wolfers was produced by Mike McCarthy.,75,8.6
6090,Black Rainbow Sound,Menace Beach,"September 7, 2018",The third full-length release for the British duo of Ryan Needham and Liza Violet features a guest appearance by Brix Smith and was produced by Matt Peel.,75,tbd
6091,Everything Else Matters,Pinkshinyultrablast,"January 27, 2015",The debut full-length release for the Russian shoegaze quintet was recorded in 2013.,75,7.8
6092,101,Keren Ann,"March 22, 2011","The sixth album from the Dutch-Israeli singer-songwriter is a mix of choral arrangements, guitar, piano, and clarinet.",75,tbd
6093,When Fish Ride Bicycles,The Cool Kids,"July 12, 2011","The duo of Chuck Inglish and Mikey Rocks, aka Sir Michael Rocks, releases its long-awaited album that was more than two years in the making.",75,7.6
6094,B-Sides & Rarities,Nick Cave & the Bad Seeds,"March 22, 2005","For you Nick Cave completists out there, this three-disc box set compiles 56 tracks spanning both decades of his work with the Bad Seeds, including some previously unreleased material.",75,8.5
6095,Joji,The Anomoanon,"November 2, 2004","This second 2004 disc from singer-songwriter Ned Oldham (brother of Palace Music's Will Oldham) offers country-tinged folk that recalls bands such as the Grateful Dead, Neil Young and the Meat Puppets.",75,7.6
6096,Crab Day,Cate Le Bon,"April 15, 2016",The third full-length release for the Welsh singer-songwriter was produced by Noah Georgson and Josiah Steinbrick.,75,8.0
6097,Blue Eyed In The Red Room,Boom Bip,"March 8, 2005","This mainly instrumental disc (which, rather than being sample-driven, features live instrumentation from Boom Bip himself) also includes two vocal tracks, with Nina Nastasia and Gruff Rhys (Super Furry Animals) handling the singing.",75,tbd
6098,Day After Tomorrow,Joan Baez,"September 9, 2008","The folk singer from New York releases her latest album, which features songs written by Steve Earle, Elvis Costello, and T-Bone Burnett.",75,8.8
6099,Pool,Porches,"February 5, 2016",The second full-length release for the indie pop band led by Aaron Maine was recorded in his apartment.,75,7.8
6101,Shadow of the Sun,Moon Duo,"March 3, 2015",The latest release from the duo of Ripley Johnson and Sanae Yamada includes drummer John Jeffrey.,75,7.5
6102,Smalhans,Lindstrøm,"November 5, 2012",Hans-Peter Lindstrøm's fourth release was recorded right after Six Cups of Rebel was mixed by Todd Terje.,75,tbd
6103,MTMTMK,The Very Best,"July 17, 2012","The second album from the duo of African-born singer Esau Mwamwaya  and British producer Radioclit features guest appearances by Baaba Maal, DJ Mo-Laudi, and K'naan.",75,7.6
6104,High Places,High Places,"September 23, 2008","The debut full-length album for the Brooklyn, New York, duo.",75,7.3
6105,Seeker,Mikal Cronin,"October 25, 2019",The fourth full-length solo studio release for the Los Angeles singer-songwriter was recorded live with Ty Segall's Freedom Band by Jason Quever of Papercuts.,75,7.6
6106,If I Should Go Before You,City and Colour,"October 9, 2015","The fifth full-length release for the Dallas Green project features his touring band Matt Kelly, Jack Lawrence, Doug MacGregor, and Dante Schwebel.",75,8.3
6107,Pe'ahi,The Raveonettes,"July 22, 2014",The seventh full-length release for the indie rock duo of Sune Rose Wagner and Sharin Foo was produced by Justin Meldal-Johnsen.,75,7.7
6108,"Bitter Drink, Bitter Moon",Murder by Death,"September 25, 2012",The sixth album for the indie rock band from Indiana was produced by John Congleton.,75,6.8
6109,Happy Birthday,Happy Birthday,"March 16, 2010",This is the debut album for the rock band from Vermont.,75,tbd
6110,Willie And The Wheel,Willie Nelson And Asleep At The Wheel,"February 3, 2009",Willie Nelson and Asleep at the Wheel team up to release an album of Western Swing music.,75,tbd
6111,Songs for the General Public,The Lemon Twigs,"August 21, 2020",The third full-length release for the brother duo of Brian and Michael D'Addario was self-produced and recorded.,75,7.4
6112,Before We Forgot How to Dream,SOAK,"June 2, 2015",The full-length release for Northern Ireland singer-songwriter Bridie Monds-Watson was produced by Tommy McLauglin.,75,8.3
6113,Back Of My Mind,H.E.R.,"June 18, 2021","The debut full-length studio release for the California R&B artist features guest appearances from Chris Brown, Cordae, Lil Baby, DJ Khaled, Thundercat, Bryson Tiller, Ty Dolla $ign, Y.G., and Yung Bleu.",75,7.2
6114,Will This Make Me Good,Nick Hakim,"May 15, 2020",The second full-length release for the Brooklyn-based artist was produced by Andrew Sarlo.,75,tbd
6115,Intersections,Into It. Over It.,"September 24, 2013",The fourth full-length release for the Evan Weiss project was produced by Brian Deck.,75,tbd
6116,Old Punch Card,Sam Prekop,"September 7, 2010",The Sea and Cake singer challenged himself to create something different with his third solo album.,75,tbd
6117,Plastic Hearts,Miley Cyrus,"November 27, 2020","The seventh full-length studio album from Miley Cyrus features guest appearances from Dua Lipa, Billy Idol and Joan Jett.",75,9.3
6118,The  Way and Color,TEEN,"April 22, 2014",The second full-length release for the Brooklyn band formed by Lizzie & Teeny Lieberson is its first with new bassist Boshra AlSaadi.,75,tbd
6119,All the Colours of You,James,"June 4, 2021",the 16th full-length studio release for the British indie band was produced by Jacknife Lee.,75,7.6
6120,Weather,Tycho,"July 12, 2019",The fifth full-length release for the electronic project led by Scott Hansen features the vocals of Saint Sinner (aka Hannah Cottrell).,75,4.6
6121,Choir of the Mind,Emily Haines & the Soft Skeleton,"September 15, 2017",The second full-length solo release for the Metric/Broken Social Scene singer was produced with Metric guitarist Jimmy Shaw (who also mixed the album).,75,7.8
6122,Art in the Age of Automation,Portico Quartet,"August 25, 2017",The fourth full-length release for the British band (2015's Living Fields was released as a trio under the name Portico) was recorded in London and sees them returning as a four-piece.,75,tbd
